City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
240,Krasnoselkup,RU,65.7,82.4667,62.6,57,80,13.51,broken clouds
241,Sol-Iletsk,RU,51.1631,54.9918,73.6,65,2,4.68,clear sky
242,Codrington,AU,-38.2667,141.9667,50.36,69,100,13.2,overcast clouds
243,Vulcan,RO,45.3833,23.2667,49.6,62,31,3.0,scattered clouds
244,Rio Grande,BR,-32.035,-52.0986,41.95,82,0,6.35,clear sky
245,Olavarria,AR,-36.8927,-60.3225,48.02,62,100,12.28,overcast clouds
246,Bandarbeyla,SO,9.4942,50.8122,78.84,61,100,33.08,overcast clouds
247,Tadine,NC,-21.55,167.8833,74.46,80,98,10.42,overcast clouds
248,Boguchany,RU,58.3814,97.4531,56.71,95,100,7.96,light rain
249,Roald,NO,62.5833,6.1333,59.16,88,20,13.8,few clouds
250,Tarrafal,CV,15.2833,-23.7667,75.99,79,82,15.08,broken clouds
251,Umea,SE,63.8284,20.2597,59.92,87,100,3.44,overcast clouds
252,Kendari,ID,-3.945,122.4989,78.35,88,100,1.95,overcast clouds
253,Najran,SA,17.4924,44.1277,81.25,28,21,8.55,few clouds
254,Meadow Lake,US,34.8014,-106.5436,96.28,16,88,18.37,overcast clouds
255,Tuscaloosa,US,33.2098,-87.5692,87.58,67,0,8.05,clear sky
256,Katsuura,JP,35.1333,140.3,81.32,78,100,13.24,overcast clouds
257,Abalak,RU,58.1286,68.5944,63.86,61,7,3.67,clear sky
258,Lompoc,US,34.6391,-120.4579,85.78,76,0,17.27,clear sky
259,Lorengau,PG,-2.0226,147.2712,84.15,77,100,11.92,moderate rain
260,Waingapu,ID,-9.6567,120.2641,82.15,57,72,10.25,broken clouds
261,East London,ZA,-33.0153,27.9116,66.83,32,0,6.71,clear sky
262,Nacala,MZ,-14.5428,40.6728,65.28,93,2,7.45,clear sky
263,Zavodoukovsk,RU,56.5042,66.5515,63.32,84,16,2.53,few clouds
264,Viedma,AR,-40.8135,-62.9967,48.4,59,6,20.8,clear sky
265,Banda Aceh,ID,5.5577,95.3222,83.32,69,22,3.58,few clouds
266,Sambava,MG,-14.2667,50.1667,68.13,84,7,11.59,clear sky
267,Leningradskiy,RU,69.3833,178.4167,32.95,91,98,21.14,light snow
268,Baherden,TM,38.4362,57.4316,88.47,14,0,5.08,clear sky
269,Dingle,PH,10.9995,122.6711,75.24,96,100,3.27,moderate rain
270,Muzhi,RU,65.3667,64.6667,65.79,57,97,2.77,overcast clouds
271,Kijang,KR,35.2442,129.2139,73.13,98,100,4.99,heavy intensity rain
272,Narasannapeta,IN,18.4167,84.05,81.45,83,87,5.93,heavy intensity rain
273,Beisfjord,NO,68.3751,17.5988,52.05,85,98,4.45,overcast clouds
274,Carutapera,BR,-1.195,-46.02,75.56,90,12,4.59,few clouds
275,San Policarpo,PH,12.1791,125.5072,83.41,75,100,4.32,overcast clouds
276,Sioux Lookout,CA,50.1001,-91.917,78.87,61,75,5.75,broken clouds
277,Castro,BR,-24.7911,-50.0119,60.75,95,100,6.06,overcast clouds
278,Segezha,RU,63.7415,34.3222,53.53,81,55,5.48,broken clouds
279,Billings,US,45.7833,-108.5007,91.17,22,75,17.27,broken clouds
280,Acapulco,MX,16.8634,-99.8901,84.02,70,100,4.61,overcast clouds
281,Majene,ID,-3.5403,118.9707,77.13,85,99,6.87,light rain
282,Mezen,RU,65.8522,44.24,59.27,78,100,3.31,overcast clouds
283,Urengoy,RU,65.9667,78.3667,61.81,60,99,12.28,overcast clouds
284,Luena,AO,-11.7833,19.9167,48.2,57,9,5.82,clear sky
285,Mount Isa,AU,-20.7333,139.5,74.97,35,0,9.22,clear sky
286,Conceicao Do Araguaia,BR,-8.2578,-49.2647,74.46,42,5,4.65,clear sky
287,San Quintin,MX,30.4833,-115.95,70.09,76,6,8.57,clear sky
288,Byron Bay,AU,-28.65,153.6167,71.71,48,7,5.79,clear sky
289,Rapid Valley,US,44.0625,-103.1463,93.4,33,0,11.5,clear sky
290,Callaway,US,30.153,-85.5699,81.95,82,0,5.75,clear sky
291,Namatanai,PG,-3.6667,152.4333,85.37,68,64,9.75,light rain
292,Mana,GF,5.6592,-53.7767,77.97,84,98,6.33,overcast clouds
293,Tuktoyaktuk,CA,69.4541,-133.0374,68.0,60,75,13.8,broken clouds
294,Loreto,MX,22.2667,-101.9667,70.27,40,11,19.35,few clouds
295,Xuddur,SO,4.1213,43.8894,68.41,81,29,18.41,scattered clouds
296,Kalangala,UG,-0.3089,32.225,72.75,65,86,9.28,light rain
297,Suslonger,RU,56.3156,48.2531,62.83,93,98,3.78,overcast clouds
298,Avera,US,33.194,-82.5271,82.45,72,6,5.79,clear sky
299,Erzincan,TR,39.75,39.5,63.7,68,0,3.44,clear sky
300,Mallasamudram,IN,11.4833,78.0333,78.04,84,100,4.36,overcast clouds
301,Atar,MR,20.5169,-13.0499,91.67,31,71,8.46,broken clouds
302,Sunrise Manor,US,36.2111,-115.0731,111.9,16,0,8.05,clear sky
303,Severo-Kurilsk,RU,50.6789,156.125,56.71,93,100,0.18,overcast clouds
304,Ponta Delgada,PT,37.7333,-25.6667,74.5,78,75,3.44,broken clouds
305,Alta Gracia,AR,-31.6529,-64.4283,53.37,35,79,4.9,broken clouds
306,Koshurnikovo,RU,54.1667,93.3,57.06,98,100,5.06,light rain
307,Holme,DK,56.1138,10.1725,60.37,89,77,7.85,broken clouds
308,Pevek,RU,69.7008,170.3133,32.11,90,99,25.48,overcast clouds
309,Tuatapere,NZ,-46.1333,167.6833,53.22,89,100,9.84,light rain
310,Dinguiraye,GN,11.3,-10.7167,70.7,96,100,1.66,moderate rain
311,Olive Branch,US,34.9618,-89.8295,91.08,62,0,8.05,clear sky
312,Chumikan,RU,54.7183,135.315,55.49,90,100,9.06,overcast clouds
313,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,88,71,4.79,broken clouds
314,Te Anau,NZ,-45.4167,167.7167,52.41,90,100,10.25,moderate rain
315,Belaya Gora,RU,68.5333,146.4167,61.72,43,100,6.15,overcast clouds
316,Cabo San Lucas,MX,22.8909,-109.9124,90.7,54,0,4.61,clear sky
317,Ukiah,US,39.1502,-123.2078,96.69,13,0,3.44,clear sky
318,Arlit,NE,18.7369,7.3853,89.76,35,3,7.45,clear sky
319,Frutigen,CH,46.5878,7.6475,68.14,70,23,3.09,few clouds
320,Kloulklubed,PW,7.0419,134.2556,82.9,72,77,8.16,broken clouds
321,Khani,GE,41.9563,42.9566,62.17,95,64,0.81,broken clouds
322,Port-Gentil,GA,-0.7193,8.7815,74.3,76,35,8.52,scattered clouds
323,Sai Buri,TH,6.7013,101.6168,81.97,76,87,3.11,overcast clouds
324,Chittur,IN,10.7,76.75,76.55,89,91,11.7,overcast clouds
325,Torit,SS,4.4133,32.5678,67.8,92,52,2.89,light rain
326,Bhind,IN,26.5642,78.7883,92.21,51,87,12.95,overcast clouds
327,Krivosheino,RU,57.3431,83.9261,56.41,89,100,10.78,overcast clouds
328,Niltepec,MX,16.5667,-94.6167,77.99,84,100,8.32,overcast clouds
329,Evensk,RU,61.95,159.2333,63.75,69,100,8.81,overcast clouds
330,Jacareacanga,BR,-6.2222,-57.7528,77.61,51,8,2.21,clear sky
331,Kavaratti,IN,10.5669,72.642,82.04,78,100,18.39,overcast clouds
332,Koungou,YT,-12.7336,45.2042,76.71,73,40,18.41,scattered clouds
333,Ixtapa,MX,20.7,-105.2,77.23,94,100,4.61,overcast clouds
334,Parit Buntar,MY,5.1267,100.4932,86.95,81,85,1.74,overcast clouds
335,Tvoroyri,FO,61.5556,-6.8111,51.24,89,98,18.14,overcast clouds
336,Anadyr,RU,64.75,177.4833,48.7,42,40,29.08,scattered clouds
337,Coahuayana,MX,18.7333,-103.6833,77.97,93,98,2.66,overcast clouds
338,Broome,US,42.2506,-75.833,75.58,77,20,5.75,few clouds
339,Kalmar,SE,56.6616,16.3616,61.97,86,99,3.0,light rain
340,Minas De Barroteran,MX,27.6333,-101.2833,92.53,19,3,20.62,clear sky
341,Grindavik,IS,63.8424,-22.4338,49.95,87,100,5.75,overcast clouds
342,Dudinka,RU,69.4058,86.1778,56.62,58,100,10.18,overcast clouds
343,Mbocayaty,PY,-25.7,-56.4,47.01,81,0,3.49,clear sky
344,Filingue,NE,14.3521,3.3168,83.37,62,100,1.97,light rain
345,Lavrentiya,RU,65.5833,-171.0,36.79,75,98,22.59,light rain
