City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
487,Zacualpan,MX,80.53,overcast clouds,21.25,-105.1667,La Colorada B&B
492,Fare,PF,77.0,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
494,Nouadhibou,MR,71.58,sand,20.931,-17.0347,El Medina
496,Mingaora,PK,80.38,clear sky,34.7758,72.3625,Burj Al Swat
497,Brigantine,US,78.04,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
499,Manaus,BR,84.7,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
505,Bol,TD,77.04,overcast clouds,13.4586,14.7147,Harrouni camp de passage
507,Itoman,JP,86.77,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
509,Kainantu,PG,74.07,overcast clouds,-6.2887,145.8655,Sylvester buku
510,Bejar,ES,72.01,clear sky,40.3864,-5.7634,Posada Puerta Grande
512,Sorong,ID,81.77,broken clouds,-0.8833,131.25,Waigo Splash Hotel
513,Masallatah,LY,71.65,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
514,Nador,MA,77.25,clear sky,35.174,-2.9287,Hôtel La Giralda
515,Porto Walter,BR,71.51,overcast clouds,-8.2686,-72.7439,Hotel Silva
516,Siirt,TR,77.56,clear sky,37.9326,41.9403,Barden Otel
517,Xicotencatl,MX,87.48,clear sky,23.0167,-98.8833,Misioneros Vázquez Mireles
518,Caravelas,BR,70.11,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
520,Princeton,US,85.01,few clouds,25.5384,-80.4089,American Best Inn
521,Jaen,ES,75.94,clear sky,38.0,-3.5,Hotel TRH Baeza
522,Opelousas,US,84.09,clear sky,30.5335,-92.0815,"Holiday Inn & Suites Opelousas, an IHG Hotel"
525,Sorada,IN,78.78,broken clouds,19.75,84.4333,PWD Guest House
526,Wajir,KE,70.61,overcast clouds,1.7471,40.0573,Mahatallah Hotel
527,Olinda,BR,76.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
528,Rincon,US,80.85,broken clouds,32.296,-81.2354,Days Inn Rincon
529,Baculin,PH,80.22,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
530,Sham Churasi,IN,88.57,clear sky,31.4997,75.7494,Victoria Resorts
533,Ajdabiya,LY,76.73,clear sky,30.7554,20.2263,Almadina Hotel
534,Aleksandrov Gay,RU,71.53,few clouds,50.147,48.5704,Gostinitsa
535,Wuwei,CN,74.77,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
538,Bilma,NE,86.56,clear sky,18.6853,12.9164,Expeditions Ténére voyages
540,Labuhan,ID,80.22,broken clouds,-6.8844,112.2051,DoubleFAG
541,Nanae,JP,70.03,broken clouds,41.8833,140.6833,とみや旅館
542,Hobyo,SO,75.49,broken clouds,5.3505,48.5268,Iftin hotel hobyo
543,Fukue,JP,80.96,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
545,Dali,CN,72.52,light rain,25.7,100.1833,Dali Travelling With Hostel
546,Erenhot,CN,75.74,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
550,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
553,Kalikapur,IN,80.49,scattered clouds,22.6167,86.2833,Rabindra nath singh
555,Eydhafushi,MV,81.16,heavy intensity rain,5.1033,73.0708,Soneva Fushi
556,Diplahan,PH,75.02,overcast clouds,7.7167,123.0167,Gotz Farm
557,Wajima,JP,81.28,broken clouds,37.4,136.9,Wajiima Onsen Yashio
559,Ust-Nera,RU,75.18,broken clouds,64.5667,143.2,Hotel Ust-Nera
561,Tabou,CI,74.41,broken clouds,4.423,-7.3528,hotêl doufoulougou
562,Mingshui,CN,88.14,broken clouds,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
563,Arrifes,PT,72.23,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
564,San Diego,US,88.3,scattered clouds,32.7153,-117.1573,Hilton San Diego Bayfront
565,Excelsior Springs,US,84.07,clear sky,39.3392,-94.2261,The Elms Hotel & Spa
